first_name,last_name,dob,team,hr,hits,avg,salary
Keith,Price,7/12/1993,Mauv,57,157,0.131,838593.6
Raymond,Carr,4/3/1983,Goldenrod,100,134,0.145,23846260.19
Michelle,Reid,9/21/1985,Goldenrod,37,11,0.366,14112879.61
Amanda,Turner,12/22/1997,Maroon,58,177,0.187,8047721.0
Walter,Holmes,10/15/1991,Maroon,42,143,0.764,4530102.0
Patricia,Willis,6/5/1992,Puce,16,223,0.321,42353702.18
Kimberly,Mason,9/14/1976,Turquoise,65,167,0.634,19663497.48
Judy,Hudson,2/10/1995,Teal,100,207,0.473,20733338.51
Cheryl,Lawson,7/23/1995,Aquamarine,85,120,0.659,23537716.82
Ryan,Ward,7/23/1990,Indigo,26,75,0.635,17464005.69
Jean,Ellis,9/22/1993,Turquoise,36,180,0.723,711160.4
Tina,Williams,1/26/1983,Khaki,38,30,0.315,30378571.47
Helen,Carter,10/1/1988,Fuscia,60,46,0.255,2570658.23
Aaron,Stevens,1/25/1997,Aquamarine,1,158,0.315,33614457.2
Daniel,Perez,7/29/1994,Green,35,109,0.144,21985600.17
Ruth,Day,3/1/1992,Violet,34,46,0.575,15832176.45
Katherine,Flores,3/27/1976,Violet,58,61,0.527,41727682.7
Jerry,Lopez,4/9/1975,Indigo,12,39,0.462,15847360.9
Harold,Marshall,9/4/1997,Red,74,112,0.67,29000932.84
Jesse,Cooper,4/13/1983,Yellow,97,39,0.523,4252837.0
John,Gomez,6/11/1988,Maroon,80,155,0.484,26203489.44
Randy,Peterson,5/28/1980,Orange,14,16,0.141,11827728.1
Richard,Chavez,7/1/1992,Mauv,18,238,0.538,43621377.21
Carol,Harris,4/2/1991,Fuscia,96,12,0.456,40572253.6
Paula,Thompson,10/5/1993,Blue,71,144,0.628,33401042.93
Rachel,Bennett,10/6/1976,Indigo,12,169,0.146,19246697.19
Johnny,Reid,11/18/1998,Aquamarine,3,52,0.21,39821689.5
Carol,Foster,8/9/1990,Fuscia,18,185,0.755,32519738.83
Patricia,Schmidt,8/26/1985,Crimson,77,26,0.779,37010758.53
Sara,Larson,12/31/1975,Turquoise,96,46,0.429,43424271.46
Christopher,Scott,5/29/1996,Maroon,69,220,0.306,20029449.31
Rose,Morrison,7/26/1977,Goldenrod,27,153,0.442,14510752.49
Joe,Bowman,1/13/1990,Aquamarine,43,235,0.707,23988138.35
Ralph,Wood,2/17/1984,Indigo,65,202,0.635,27796337.39
Barbara,Perkins,10/10/1983,Teal,68,206,0.756,31302375.03
Justin,Wagner,7/10/1977,Puce,39,269,0.597,36199678.82
Denise,Gray,8/25/1987,Mauv,72,3,0.626,42572641.81
Cheryl,Mills,7/29/1994,Purple,23,53,0.51,27336238.23
Rebecca,Gonzales,9/8/1978,Fuscia,73,153,0.573,22177002.22
Angela,Jenkins,9/8/1998,Blue,26,6,0.41,39335718.44
Jessica,Woods,12/5/1978,Maroon,53,219,0.779,25235901.09
Bobby,Fernandez,12/6/1975,Yellow,24,87,0.776,32703890.49
Donna,Sanchez,11/21/1997,Aquamarine,70,299,0.636,32192603.5
Gregory,Webb,1/18/1983,Goldenrod,10,298,0.274,32438675.8
Jennifer,Phillips,11/19/1996,Orange,45,135,0.722,20499183.37
Thomas,Harris,8/12/1976,Fuscia,58,219,0.329,17423921.28
Diane,Fields,10/21/1987,Purple,78,43,0.587,20378655.02
Carlos,Duncan,8/28/1979,Goldenrod,80,275,0.561,36347183.49
Teresa,Bennett,4/25/1986,Crimson,41,109,0.701,1068462.87
Helen,Medina,12/26/1987,Maroon,12,150,0.54,32169267.91
Martin,Smith,3/23/1979,Green,80,204,0.268,11417454.9
Sara,West,3/2/1995,Purple,71,13,0.604,37225852.54
Judith,Weaver,11/20/1994,Khaki,90,20,0.619,28646087.02
Louis,Fowler,3/4/1979,Mauv,45,272,0.617,8457773.0
Christina,Ortiz,5/10/1985,Puce,15,279,0.199,10822431.84
Jessica,Oliver,3/5/1985,Khaki,78,275,0.786,23215013.3
Diane,Cruz,8/26/1994,Maroon,92,204,0.295,31768760.02
James,Harper,12/13/1989,Yellow,26,281,0.728,10505551.09
Teresa,Peterson,12/9/1992,Puce,19,111,0.087,14134609.82
Karen,Moreno,12/7/1990,Puce,94,109,0.616,19037993.21
Brian,Hall,4/28/1995,Indigo,78,73,0.767,23574680.96
Brandon,King,10/17/1986,Khaki,33,10,0.151,32353316.76
Michelle,Martinez,2/19/1977,Goldenrod,36,122,0.648,27856693.93
Samuel,Martin,3/15/1993,Fuscia,58,173,0.19,25267834.87
Ruby,Porter,10/3/1982,Puce,67,156,0.738,14949892.59
Harry,Gardner,12/26/1998,Blue,10,223,0.74,39176938.42
Jennifer,Jenkins,2/2/1987,Green,52,114,0.254,9031561.0
Clarence,Harper,1/21/1983,Fuscia,97,94,0.407,2056603.0
Annie,Edwards,5/8/1976,Violet,58,250,0.117,4242745.0
Richard,Gilbert,7/13/1983,Khaki,1,250,0.213,40518422.76
Gerald,Hall,9/25/1977,Violet,54,254,0.525,34462298.49
Nancy,Hunt,6/13/1988,Green,35,105,0.647,13744045.5
Marie,Fields,11/23/1985,Mauv,8888,34,0.283,99999999934147135.84
Bonnie,Jones,6/3/1987,Green,1,136,0.124,32189005.3
Jeffrey,Ryan,9/22/1980,Fuscia,73,267,0.371,27496390.71
Frances,Parker,2/27/1978,Fuscia,54,2,0.756,37244479.01
Marie,Chapman,4/14/1998,Khaki,31,276,0.721,26709976.66
Thomas,Murphy,11/6/1978,Blue,93,254,0.67,33134201.22
Carol,Willis,11/4/1988,Maroon,33,206,0.222,25044572.82
Doris,Welch,8/4/1982,Khaki,33,55,0.61,14482792.55
Angela,Cole,8/16/1991,Violet,87,136,0.706,42875181.51
Elizabeth,Foster,4/30/1994,Indigo,46,163,0.481,33896975.53
Steve,Sanders,3/24/1983,Mauv,38,147,0.255,12669934.63
Stephen,Morgan,11/19/1989,Purple,54,150,0.498,26896705.01
Ronald,Gibson,3/11/1978,Indigo,16,156,0.601,36409929.33
Lois,Clark,1/27/1998,Puce,43,121,0.382,21000187.8
Jose,Stephens,7/20/1991,Green,80,64253,0.69,16032567.12
Lawrence,Watson,7/29/1990,Orange,83,69,0.724,18042919.17
Jacqueline,Richards,10/6/1975,Pink,273333,4490260,0.324,444444444448279921.75
Beverly,Miller,1/9/1996,Purple,72,1,0.1,27445298.42
Susan,Turner,3/21/1989,Pink,44,213,0.739,12605352.13
Rachel,Simpson,6/16/1979,Indigo,67,234,0.607,42411283.89
Christopher,Cole,7/1/1990,Teal,51,131,0.592,39956540.06
Eugene,Webb,6/28/1996,Mauv,63,139,0.777,30665712.34
Kimberly,Medina,5/16/1996,Orange,74,154,0.142,23044011.54
Ryan,Russell,6/26/1986,Turquoise,36,279,0.73,4522512.1
Janice,Mitchell,3/6/1979,Green,79,258,0.784,38671805.36
Philip,Gardner,5/6/1992,Puce,39,239,0.697,20967480.67
Deborah,Wood,2/20/1984,Fuscia,43,156,0.312,40528142.71
Keith,Frazier,6/12/1991,Goldenrod,24,88,0.179,8843919.0
