0,first_name,last_name,dob,team,hr,hits,avg,salary
1,Keith,Price,7/12/1993,Mauv,57,157,0.131,838593.6
2,Raymond,Carr,4/3/1983,Goldenrod,100,134,0.145,23846260.19
3,Michelle,Reid,9/21/1985,Goldenrod,37,11,0.366,14112879.61
4,Amanda,Turner,12/22/1997,Maroon,58,177,0.187,8047721.0
5,Walter,Holmes,10/15/1991,Maroon,42,143,0.764,4530102.0
6,Patricia,Willis,6/5/1992,Puce,16,223,0.321,42353702.18
7,Kimberly,Mason,9/14/1976,Turquoise,65,167,0.634,19663497.48
8,Judy,Hudson,2/10/1995,Teal,100,207,0.473,20733338.51
9,Cheryl,Lawson,7/23/1995,Aquamarine,85,120,0.659,23537716.82
10,Ryan,Ward,7/23/1990,Indigo,26,75,0.635,17464005.69
11,Jean,Ellis,9/22/1993,Turquoise,36,180,0.723,711160.4
12,Tina,Williams,1/26/1983,Khaki,38,30,0.315,30378571.47
13,Helen,Carter,10/1/1988,Fuscia,60,46,0.255,2570658.23
14,Aaron,Stevens,1/25/1997,Aquamarine,1,158,0.315,33614457.2
15,Daniel,Perez,7/29/1994,Green,35,109,0.144,21985600.17
16,Ruth,Day,3/1/1992,Violet,34,46,0.575,15832176.45
17,Katherine,Flores,3/27/1976,Violet,58,61,0.527,41727682.7
18,Jerry,Lopez,4/9/1975,Indigo,12,39,0.462,15847360.9
19,Harold,Marshall,9/4/1997,Red,74,112,0.67,29000932.84
20,Jesse,Cooper,4/13/1983,Yellow,97,39,0.523,4252837.0
21,John,Gomez,6/11/1988,Maroon,80,155,0.484,26203489.44
22,Randy,Peterson,5/28/1980,Orange,14,16,0.141,11827728.1
23,Richard,Chavez,7/1/1992,Mauv,18,238,0.538,43621377.21
24,Carol,Harris,4/2/1991,Fuscia,96,12,0.456,40572253.6
25,Paula,Thompson,10/5/1993,Blue,71,144,0.628,33401042.93
26,Rachel,Bennett,10/6/1976,Indigo,12,169,0.146,19246697.19
27,Johnny,Reid,11/18/1998,Aquamarine,3,52,0.21,39821689.5
28,Carol,Foster,8/9/1990,Fuscia,18,185,0.755,32519738.83
29,Patricia,Schmidt,8/26/1985,Crimson,77,26,0.779,37010758.53
30,Sara,Larson,12/31/1975,Turquoise,96,46,0.429,43424271.46
31,Christopher,Scott,5/29/1996,Maroon,69,220,0.306,20029449.31
